chemical,Replication,Concentration,Response,celltype,phenotype
Benzidine,2,0.01,0.930658326,HUVECs,Cell Number
Endosulfan,2,0.01,0.997787779,HUVECs,Cell Number
Methoxychlor,2,0.01,1.028301167,HUVECs,Cell Number
"2,4-Dinitrophenol",2,0.01,0.991685102,HUVECs,Cell Number
"2,4-Dinitrotoluene",2,0.01,0.994736441,HUVECs,Cell Number
Dicofol,2,0.01,1.054237547,HUVECs,Cell Number
p-Cresol,2,0.01,0.988633763,HUVECs,Cell Number
"o,p'-DDT",2,0.01,1.054237547,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",2,0.01,1.077122588,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",2,0.01,1.019147151,HUVECs,Cell Number
Lead nitrate,2,0.01,0.926081318,HUVECs,Cell Number
Cadmium chloride,2,0.01,0.993210771,HUVECs,Cell Number
Zinc chloride,2,0.01,1.037455183,HUVECs,Cell Number
Mercuric chloride,2,0.01,1.026775498,HUVECs,Cell Number
Potassium chromate (VI),2,0.01,1.144252041,HUVECs,Cell Number
Cobalt chloride,2,0.01,1.011518804,HUVECs,Cell Number
Nickel chloride,2,0.01,1.080173926,HUVECs,Cell Number
Benz(a)anthracene,1,0.1,1.015475313,HUVECs,Cell Number
Naphthalene,1,0.1,0.994841562,HUVECs,Cell Number
Fluoranthene,1,0.1,1.084745763,HUVECs,Cell Number
"p,p'-DDT",1,0.1,0.935887988,HUVECs,Cell Number
Dieldrin,1,0.1,1.003684598,HUVECs,Cell Number
Aldrin,1,0.1,1.06705969,HUVECs,Cell Number
Heptachlor,1,0.1,0.900515844,HUVECs,Cell Number
Lindane,1,0.1,0.925571113,HUVECs,Cell Number
Disulfoton,1,0.1,1.064112012,HUVECs,Cell Number
Endrin,1,0.1,1.033161385,HUVECs,Cell Number
Diazinon,1,0.1,1.014001474,HUVECs,Cell Number
Heptachlor epoxide,1,0.1,1.009579956,HUVECs,Cell Number
Pentachlorophenol,1,0.1,1.06705969,HUVECs,Cell Number
Dibutyl phthalate,1,0.1,1.06853353,HUVECs,Cell Number
Chlorpyrifos,1,0.1,1.00073692,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,1,0.1,0.93294031,HUVECs,Cell Number
"2,4,6-Trichlorophenol",1,0.1,1.06705969,HUVECs,Cell Number
Ethion,1,0.1,0.941783346,HUVECs,Cell Number
Azinphos-methyl,1,0.1,0.99926308,HUVECs,Cell Number
"2,4,5-Trichlorophenol",1,0.1,1.052321297,HUVECs,Cell Number
Parathion,1,0.1,1.053795136,HUVECs,Cell Number
Benzo(b)fluoranthene,1,0.1,1.115696389,HUVECs,Cell Number
Trifluralin,1,0.1,0.974207811,HUVECs,Cell Number
Acenaphthene,1,0.1,1.043478261,HUVECs,Cell Number
"p,p'-DDD",1,0.1,1.003684598,HUVECs,Cell Number
Benzidine,1,0.1,0.9550479,HUVECs,Cell Number
Endosulfan,1,0.1,0.9550479,HUVECs,Cell Number
Methoxychlor,1,0.1,1.008106116,HUVECs,Cell Number
"2,4-Dinitrophenol",1,0.1,1.071481209,HUVECs,Cell Number
"2,4-Dinitrotoluene",1,0.1,1.131908622,HUVECs,Cell Number
Dicofol,1,0.1,0.987472366,HUVECs,Cell Number
p-Cresol,1,0.1,0.997789241,HUVECs,Cell Number
"o,p'-DDT",1,0.1,1.053795136,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",1,0.1,1.040530582,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",1,0.1,0.980103169,HUVECs,Cell Number
Lead nitrate,1,0.1,1.093588799,HUVECs,Cell Number
Cadmium chloride,1,0.1,1.087693441,HUVECs,Cell Number
Zinc chloride,1,0.1,1.081798084,HUVECs,Cell Number
Mercuric chloride,1,0.1,0.950626382,HUVECs,Cell Number
Potassium chromate (VI),1,0.1,1.031687546,HUVECs,Cell Number
Cobalt chloride,1,0.1,1.016949153,HUVECs,Cell Number
Nickel chloride,1,0.1,0.876934414,HUVECs,Cell Number
Benz(a)anthracene,2,0.1,0.997787779,HUVECs,Cell Number
Naphthalene,2,0.1,0.964223053,HUVECs,Cell Number
Fluoranthene,2,0.1,1.029826837,HUVECs,Cell Number
"p,p'-DDT",2,0.1,0.958120375,HUVECs,Cell Number
Dieldrin,2,0.1,0.999313449,HUVECs,Cell Number
Aldrin,2,0.1,1.005416126,HUVECs,Cell Number
Heptachlor,2,0.1,0.959646045,HUVECs,Cell Number
Lindane,2,0.1,1.028301167,HUVECs,Cell Number
Disulfoton,2,0.1,1.04508353,HUVECs,Cell Number
Endrin,2,0.1,1.051186208,HUVECs,Cell Number
Diazinon,2,0.1,0.952017698,HUVECs,Cell Number
Heptachlor epoxide,2,0.1,0.988633763,HUVECs,Cell Number
Pentachlorophenol,2,0.1,1.107635975,HUVECs,Cell Number
Dibutyl phthalate,2,0.1,1.09543062,HUVECs,Cell Number
Chlorpyrifos,2,0.1,1.002364788,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,2,0.1,1.148829049,HUVECs,Cell Number
"2,4,6-Trichlorophenol",2,0.1,1.098481959,HUVECs,Cell Number
Ethion,2,0.1,0.976428408,HUVECs,Cell Number
Azinphos-methyl,2,0.1,1.052711877,HUVECs,Cell Number
"2,4,5-Trichlorophenol",2,0.1,0.935235335,HUVECs,Cell Number
Parathion,2,0.1,0.955069037,HUVECs,Cell Number
Benzo(b)fluoranthene,2,0.1,0.959646045,HUVECs,Cell Number
Trifluralin,2,0.1,0.982531086,HUVECs,Cell Number
Acenaphthene,2,0.1,0.901670608,HUVECs,Cell Number
"p,p'-DDD",2,0.1,1.013044473,HUVECs,Cell Number
Benzidine,2,0.1,1.110687314,HUVECs,Cell Number
Endosulfan,2,0.1,1.04508353,HUVECs,Cell Number
Methoxychlor,2,0.1,0.990159432,HUVECs,Cell Number
"2,4-Dinitrophenol",2,0.1,1.0466092,HUVECs,Cell Number
"2,4-Dinitrotoluene",2,0.1,1.09543062,HUVECs,Cell Number
Dicofol,2,0.1,0.981005416,HUVECs,Cell Number
p-Cresol,2,0.1,1.113738653,HUVECs,Cell Number
"o,p'-DDT",2,0.1,1.028301167,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",2,0.1,0.993210771,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",2,0.1,0.990159432,HUVECs,Cell Number
Lead nitrate,2,0.1,1.141200702,HUVECs,Cell Number
Cadmium chloride,2,0.1,1.002364788,HUVECs,Cell Number
Zinc chloride,2,0.1,1.051186208,HUVECs,Cell Number
Mercuric chloride,2,0.1,1.061865894,HUVECs,Cell Number
Potassium chromate (VI),2,0.1,1.042032192,HUVECs,Cell Number
Cobalt chloride,2,0.1,1.000839118,HUVECs,Cell Number
Nickel chloride,2,0.1,1.009993134,HUVECs,Cell Number
Benz(a)anthracene,1,1,0.971260133,HUVECs,Cell Number
Naphthalene,1,1,1.065585851,HUVECs,Cell Number
Fluoranthene,1,1,1.074428887,HUVECs,Cell Number
"p,p'-DDT",1,1,0.938835667,HUVECs,Cell Number
Dieldrin,1,1,1.002210759,HUVECs,Cell Number
Aldrin,1,1,1.039056743,HUVECs,Cell Number
Heptachlor,1,1,1.018422992,HUVECs,Cell Number
Lindane,1,1,0.901989683,HUVECs,Cell Number
Disulfoton,1,1,1.084745763,HUVECs,Cell Number
Endrin,1,1,1.11422255,HUVECs,Cell Number
Diazinon,1,1,1.083271923,HUVECs,Cell Number
Heptachlor epoxide,1,1,0.991893884,HUVECs,Cell Number
Pentachlorophenol,1,1,1.039056743,HUVECs,Cell Number
Dibutyl phthalate,1,1,0.962417097,HUVECs,Cell Number
Chlorpyrifos,1,1,1.078850405,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,1,1,1.131908622,HUVECs,Cell Number
"2,4,6-Trichlorophenol",1,1,1.055268976,HUVECs,Cell Number
Ethion,1,1,0.993367723,HUVECs,Cell Number
Azinphos-methyl,1,1,0.944731024,HUVECs,Cell Number
"2,4,5-Trichlorophenol",1,1,1.065585851,HUVECs,Cell Number
Parathion,1,1,1.15991157,HUVECs,Cell Number
Benzo(b)fluoranthene,1,1,0.968312454,HUVECs,Cell Number
Trifluralin,1,1,0.993367723,HUVECs,Cell Number
Acenaphthene,1,1,0.946204864,HUVECs,Cell Number
"p,p'-DDD",1,1,0.994841562,HUVECs,Cell Number
Benzidine,1,1,1.06853353,HUVECs,Cell Number
Endosulfan,1,1,0.985998526,HUVECs,Cell Number
Methoxychlor,1,1,1.093588799,HUVECs,Cell Number
"2,4-Dinitrophenol",1,1,1.126013265,HUVECs,Cell Number
"2,4-Dinitrotoluene",1,1,1.055268976,HUVECs,Cell Number
Dicofol,1,1,0.997789241,HUVECs,Cell Number
p-Cresol,1,1,0.924097273,HUVECs,Cell Number
"o,p'-DDT",1,1,1.047899779,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",1,1,1.071481209,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",1,1,1.065585851,HUVECs,Cell Number
Lead nitrate,1,1,1.083271923,HUVECs,Cell Number
Cadmium chloride,1,1,1.012527634,HUVECs,Cell Number
Zinc chloride,1,1,1.167280766,HUVECs,Cell Number
Mercuric chloride,1,1,0.812085483,HUVECs,Cell Number
Potassium chromate (VI),1,1,0.882829772,HUVECs,Cell Number
Cobalt chloride,1,1,1.078850405,HUVECs,Cell Number
Nickel chloride,1,1,1.015475313,HUVECs,Cell Number
Benz(a)anthracene,2,1,1.02219849,HUVECs,Cell Number
Naphthalene,2,1,0.869631551,HUVECs,Cell Number
Fluoranthene,2,1,0.94591502,HUVECs,Cell Number
"p,p'-DDT",2,1,0.952017698,HUVECs,Cell Number
Dieldrin,2,1,1.048134869,HUVECs,Cell Number
Aldrin,2,1,1.000839118,HUVECs,Cell Number
Heptachlor,2,1,1.052711877,HUVECs,Cell Number
Lindane,2,1,0.997787779,HUVECs,Cell Number
Disulfoton,2,1,0.916927302,HUVECs,Cell Number
Endrin,2,1,0.977954077,HUVECs,Cell Number
Diazinon,2,1,1.139675032,HUVECs,Cell Number
Heptachlor epoxide,2,1,1.09543062,HUVECs,Cell Number
Pentachlorophenol,2,1,1.093904951,HUVECs,Cell Number
Dibutyl phthalate,2,1,1.051186208,HUVECs,Cell Number
Chlorpyrifos,2,1,1.09695629,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,2,1,1.150354718,HUVECs,Cell Number
"2,4,6-Trichlorophenol",2,1,1.110687314,HUVECs,Cell Number
Ethion,2,1,1.051186208,HUVECs,Cell Number
Azinphos-methyl,2,1,1.057288885,HUVECs,Cell Number
"2,4,5-Trichlorophenol",2,1,1.083225265,HUVECs,Cell Number
Parathion,2,1,0.973377069,HUVECs,Cell Number
Benzo(b)fluoranthene,2,1,1.067968571,HUVECs,Cell Number
Trifluralin,2,1,0.973377069,HUVECs,Cell Number
Acenaphthene,2,1,0.955069037,HUVECs,Cell Number
"p,p'-DDD",2,1,1.014570143,HUVECs,Cell Number
Benzidine,2,1,0.976428408,HUVECs,Cell Number
Endosulfan,2,1,0.94744069,HUVECs,Cell Number
Methoxychlor,2,1,0.981005416,HUVECs,Cell Number
"2,4-Dinitrophenol",2,1,1.011518804,HUVECs,Cell Number
"2,4-Dinitrotoluene",2,1,0.988633763,HUVECs,Cell Number
Dicofol,2,1,1.098481959,HUVECs,Cell Number
p-Cresol,2,1,0.939812343,HUVECs,Cell Number
"o,p'-DDT",2,1,1.042032192,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",2,1,1.031352506,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",2,1,0.939812343,HUVECs,Cell Number
Lead nitrate,2,1,0.987108094,HUVECs,Cell Number
Cadmium chloride,2,1,1.029826837,HUVECs,Cell Number
Zinc chloride,2,1,1.02219849,HUVECs,Cell Number
Mercuric chloride,2,1,0.935235335,HUVECs,Cell Number
Potassium chromate (VI),2,1,0.968800061,HUVECs,Cell Number
Cobalt chloride,2,1,1.032878175,HUVECs,Cell Number
Nickel chloride,2,1,1.019147151,HUVECs,Cell Number
Benz(a)anthracene,1,10,1.52247605,HUVECs,Cell Number
Naphthalene,1,10,1.142225497,HUVECs,Cell Number
Fluoranthene,1,10,1.058216654,HUVECs,Cell Number
"p,p'-DDT",1,10,0.944731024,HUVECs,Cell Number
Dieldrin,1,10,0.894620486,HUVECs,Cell Number
Aldrin,1,10,0.97715549,HUVECs,Cell Number
Heptachlor,1,10,1.033161385,HUVECs,Cell Number
Lindane,1,10,0.971260133,HUVECs,Cell Number
Disulfoton,1,10,1.028739867,HUVECs,Cell Number
Endrin,1,10,0.922623434,HUVECs,Cell Number
Diazinon,1,10,1.043478261,HUVECs,Cell Number
Heptachlor epoxide,1,10,0.969786293,HUVECs,Cell Number
Pentachlorophenol,1,10,1.018422992,HUVECs,Cell Number
Dibutyl phthalate,1,10,0.965364775,HUVECs,Cell Number
Chlorpyrifos,1,10,0.965364775,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,1,10,0.971260133,HUVECs,Cell Number
"2,4,6-Trichlorophenol",1,10,0.960943257,HUVECs,Cell Number
Ethion,1,10,1.154016212,HUVECs,Cell Number
Azinphos-methyl,1,10,1.064112012,HUVECs,Cell Number
"2,4,5-Trichlorophenol",1,10,0.959469418,HUVECs,Cell Number
Parathion,1,10,0.968312454,HUVECs,Cell Number
Benzo(b)fluoranthene,1,10,1.88651437,HUVECs,Cell Number
Trifluralin,1,10,0.900515844,HUVECs,Cell Number
Acenaphthene,1,10,0.862196021,HUVECs,Cell Number
"p,p'-DDD",1,10,1.024318349,HUVECs,Cell Number
Benzidine,1,10,0.919675755,HUVECs,Cell Number
Endosulfan,1,10,0.918201916,HUVECs,Cell Number
Methoxychlor,1,10,0.981577008,HUVECs,Cell Number
"2,4-Dinitrophenol",1,10,1.11274871,HUVECs,Cell Number
"2,4-Dinitrotoluene",1,10,1.006632277,HUVECs,Cell Number
Dicofol,1,10,1.030213707,HUVECs,Cell Number
p-Cresol,1,10,0.903463522,HUVECs,Cell Number
"o,p'-DDT",1,10,1.179071481,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",1,10,1.061164333,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",1,10,1.02284451,HUVECs,Cell Number
Lead nitrate,1,10,1.031687546,HUVECs,Cell Number
Cadmium chloride,1,10,1.065585851,HUVECs,Cell Number
Zinc chloride,1,10,1.130434783,HUVECs,Cell Number
Mercuric chloride,1,10,0.845983788,HUVECs,Cell Number
Potassium chromate (VI),1,10,0.247605011,HUVECs,Cell Number
Cobalt chloride,1,10,1.123065586,HUVECs,Cell Number
Nickel chloride,1,10,0.971260133,HUVECs,Cell Number
Benz(a)anthracene,2,10,1.052711877,HUVECs,Cell Number
Naphthalene,2,10,0.906247616,HUVECs,Cell Number
Fluoranthene,2,10,0.974902739,HUVECs,Cell Number
"p,p'-DDT",2,10,1.04508353,HUVECs,Cell Number
Dieldrin,2,10,1.09543062,HUVECs,Cell Number
Aldrin,2,10,1.028301167,HUVECs,Cell Number
Heptachlor,2,10,1.051186208,HUVECs,Cell Number
Lindane,2,10,1.043557861,HUVECs,Cell Number
Disulfoton,2,10,0.964223053,HUVECs,Cell Number
Endrin,2,10,0.99626211,HUVECs,Cell Number
Diazinon,2,10,1.029826837,HUVECs,Cell Number
Heptachlor epoxide,2,10,1.057288885,HUVECs,Cell Number
Pentachlorophenol,2,10,0.994736441,HUVECs,Cell Number
Dibutyl phthalate,2,10,1.112212983,HUVECs,Cell Number
Chlorpyrifos,2,10,0.962697383,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,2,10,1.035929514,HUVECs,Cell Number
"2,4,6-Trichlorophenol",2,10,1.000839118,HUVECs,Cell Number
Ethion,2,10,1.058814555,HUVECs,Cell Number
Azinphos-methyl,2,10,1.038980853,HUVECs,Cell Number
"2,4,5-Trichlorophenol",2,10,1.026775498,HUVECs,Cell Number
Parathion,2,10,0.961171714,HUVECs,Cell Number
Benzo(b)fluoranthene,2,10,1.392936151,HUVECs,Cell Number
Trifluralin,2,10,1.026775498,HUVECs,Cell Number
Acenaphthene,2,10,0.887939583,HUVECs,Cell Number
"p,p'-DDD",2,10,0.933709665,HUVECs,Cell Number
Benzidine,2,10,0.959646045,HUVECs,Cell Number
Endosulfan,2,10,0.915401632,HUVECs,Cell Number
Methoxychlor,2,10,1.074071249,HUVECs,Cell Number
"2,4-Dinitrophenol",2,10,1.02067282,HUVECs,Cell Number
"2,4-Dinitrotoluene",2,10,1.040506522,HUVECs,Cell Number
Dicofol,2,10,0.981005416,HUVECs,Cell Number
p-Cresol,2,10,1.064917232,HUVECs,Cell Number
"o,p'-DDT",2,10,0.985582424,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",2,10,1.025249828,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",2,10,1.009993134,HUVECs,Cell Number
Lead nitrate,2,10,1.147303379,HUVECs,Cell Number
Cadmium chloride,2,10,1.084750934,HUVECs,Cell Number
Zinc chloride,2,10,1.069494241,HUVECs,Cell Number
Mercuric chloride,2,10,0.898619269,HUVECs,Cell Number
Potassium chromate (VI),2,10,0.378366008,HUVECs,Cell Number
Cobalt chloride,2,10,1.006941796,HUVECs,Cell Number
Nickel chloride,2,10,1.072545579,HUVECs,Cell Number
Benz(a)anthracene,1,100,2.007369197,HUVECs,Cell Number
Naphthalene,1,100,1.039056743,HUVECs,Cell Number
Fluoranthene,1,100,1.669859985,HUVECs,Cell Number
"p,p'-DDT",1,100,0.492262343,HUVECs,Cell Number
Dieldrin,1,100,0.745762712,HUVECs,Cell Number
Aldrin,1,100,0.871039057,HUVECs,Cell Number
Heptachlor,1,100,0.573323508,HUVECs,Cell Number
Lindane,1,100,0.966838615,HUVECs,Cell Number
Disulfoton,1,100,0.922623434,HUVECs,Cell Number
Endrin,1,100,1.098010317,HUVECs,Cell Number
Diazinon,1,100,1.059690494,HUVECs,Cell Number
Heptachlor epoxide,1,100,0.896094326,HUVECs,Cell Number
Pentachlorophenol,1,100,0.744288873,HUVECs,Cell Number
Dibutyl phthalate,1,100,0.907885041,HUVECs,Cell Number
Chlorpyrifos,1,100,0.707442889,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,1,100,1.145173176,HUVECs,Cell Number
"2,4,6-Trichlorophenol",1,100,0.941783346,HUVECs,Cell Number
Ethion,1,100,1.165806927,HUVECs,Cell Number
Azinphos-methyl,1,100,0.812085483,HUVECs,Cell Number
"2,4,5-Trichlorophenol",1,100,0.414148858,HUVECs,Cell Number
Parathion,1,100,1.072955048,HUVECs,Cell Number
Benzo(b)fluoranthene,1,100,0.957995578,HUVECs,Cell Number
Trifluralin,1,100,0.487840825,HUVECs,Cell Number
Acenaphthene,1,100,1.059690494,HUVECs,Cell Number
"p,p'-DDD",1,100,0.100221076,HUVECs,Cell Number
Benzidine,1,100,0.950626382,HUVECs,Cell Number
Endosulfan,1,100,0.107590273,HUVECs,Cell Number
Methoxychlor,1,100,0.471628592,HUVECs,Cell Number
"2,4-Dinitrophenol",1,100,1.087693441,HUVECs,Cell Number
"2,4-Dinitrotoluene",1,100,1.093588799,HUVECs,Cell Number
Dicofol,1,100,0.336035372,HUVECs,Cell Number
p-Cresol,1,100,0.868091378,HUVECs,Cell Number
"o,p'-DDT",1,100,0.393515107,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",1,100,0.781134856,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",1,100,0.990420044,HUVECs,Cell Number
Lead nitrate,1,100,0.876934414,HUVECs,Cell Number
Cadmium chloride,1,100,0.869565217,HUVECs,Cell Number
Zinc chloride,1,100,0.938835667,HUVECs,Cell Number
Mercuric chloride,1,100,0.871039057,HUVECs,Cell Number
Potassium chromate (VI),1,100,0.502579219,HUVECs,Cell Number
Cobalt chloride,1,100,0.991893884,HUVECs,Cell Number
Nickel chloride,1,100,0.994841562,HUVECs,Cell Number
Benz(a)anthracene,2,100,2.135937142,HUVECs,Cell Number
Naphthalene,2,100,0.932183996,HUVECs,Cell Number
Fluoranthene,2,100,1.1961248,HUVECs,Cell Number
"p,p'-DDT",2,100,0.642306812,HUVECs,Cell Number
Dieldrin,2,100,0.916927302,HUVECs,Cell Number
Aldrin,2,100,0.811656114,HUVECs,Cell Number
Heptachlor,2,100,0.49889389,HUVECs,Cell Number
Lindane,2,100,1.017621481,HUVECs,Cell Number
Disulfoton,2,100,1.013044473,HUVECs,Cell Number
Endrin,2,100,0.884888245,HUVECs,Cell Number
Diazinon,2,100,1.016095812,HUVECs,Cell Number
Heptachlor epoxide,2,100,0.926081318,HUVECs,Cell Number
Pentachlorophenol,2,100,0.602639408,HUVECs,Cell Number
Dibutyl phthalate,2,100,1.009993134,HUVECs,Cell Number
Chlorpyrifos,2,100,1.048134869,HUVECs,Cell Number
Di(2-ethylhexyl) phthalate,2,100,1.133572355,HUVECs,Cell Number
"2,4,6-Trichlorophenol",2,100,0.956594706,HUVECs,Cell Number
Ethion,2,100,1.023724159,HUVECs,Cell Number
Azinphos-methyl,2,100,0.94744069,HUVECs,Cell Number
"2,4,5-Trichlorophenol",2,100,0.329544588,HUVECs,Cell Number
Parathion,2,100,0.912350294,HUVECs,Cell Number
Benzo(b)fluoranthene,2,100,1.130521016,HUVECs,Cell Number
Trifluralin,2,100,0.887939583,HUVECs,Cell Number
Acenaphthene,2,100,0.930658326,HUVECs,Cell Number
"p,p'-DDD",2,100,0.456175147,HUVECs,Cell Number
Benzidine,2,100,0.752155008,HUVECs,Cell Number
Endosulfan,2,100,0.338698604,HUVECs,Cell Number
Methoxychlor,2,100,0.517201922,HUVECs,Cell Number
"2,4-Dinitrophenol",2,100,0.967274392,HUVECs,Cell Number
"2,4-Dinitrotoluene",2,100,0.999313449,HUVECs,Cell Number
Dicofol,2,100,0.836066824,HUVECs,Cell Number
p-Cresol,2,100,0.967274392,HUVECs,Cell Number
"o,p'-DDT",2,100,0.526355939,HUVECs,Cell Number
"2-Methyl-4,6-dinitrophenol",2,100,0.894042261,HUVECs,Cell Number
"1,2,3-Trichlorobenzene",2,100,1.089327943,HUVECs,Cell Number
Lead nitrate,2,100,0.799450759,HUVECs,Cell Number
Cadmium chloride,2,100,1.026775498,HUVECs,Cell Number
Zinc chloride,2,100,0.887939583,HUVECs,Cell Number
Mercuric chloride,2,100,1.14577771,HUVECs,Cell Number
Potassium chromate (VI),2,100,0.500419559,HUVECs,Cell Number
Cobalt chloride,2,100,1.0466092,HUVECs,Cell Number
Nickel chloride,2,100,1.043557861,HUVECs,Cell Number
Benz(a)anthracene,1,0.01,0.993064778,HUVECs,Cytoplasmic Integrity
Naphthalene,1,0.01,1.075697211,HUVECs,Cytoplasmic Integrity
Fluoranthene,1,0.01,0.873542866,HUVECs,Cytoplasmic Integrity
"p,p'-DDT",1,0.01,0.807141803,HUVECs,Cytoplasmic Integrity
Dieldrin,1,0.01,1.018149624,HUVECs,Cytoplasmic Integrity
Aldrin,1,0.01,0.975357828,HUVECs,Cytoplasmic Integrity
Heptachlor,1,0.01,0.90157887,HUVECs,Cytoplasmic Integrity
Lindane,1,0.01,0.904530028,HUVECs,Cytoplasmic Integrity
Disulfoton,1,0.01,1.044710049,HUVECs,Cytoplasmic Integrity
Endrin,1,0.01,1.063892578,HUVECs,Cytoplasmic Integrity
Diazinon,1,0.01,0.996015936,HUVECs,Cytoplasmic Integrity
Heptachlor epoxide,1,0.01,0.994540357,HUVECs,Cytoplasmic Integrity
Pentachlorophenol,1,0.01,1.065368157,HUVECs,Cytoplasmic Integrity
Dibutyl phthalate,1,0.01,1.06094142,HUVECs,Cytoplasmic Integrity
Chlorpyrifos,1,0.01,1.019625203,HUVECs,Cytoplasmic Integrity
Di(2-ethylhexyl) phthalate,1,0.01,1.028478678,HUVECs,Cytoplasmic Integrity
"2,4,6-Trichlorophenol",1,0.01,0.997491515,HUVECs,Cytoplasmic Integrity
Ethion,1,0.01,0.956175299,HUVECs,Cytoplasmic Integrity
Azinphos-methyl,1,0.01,0.895676553,HUVECs,Cytoplasmic Integrity
"2,4,5-Trichlorophenol",1,0.01,0.895676553,HUVECs,Cytoplasmic Integrity
Parathion,1,0.01,1.012247307,HUVECs,Cytoplasmic Integrity
Benzo(b)fluoranthene,1,0.01,1.022576361,HUVECs,Cytoplasmic Integrity
Trifluralin,1,0.01,1.010771728,HUVECs,Cytoplasmic Integrity
Acenaphthene,1,0.01,1.004869411,HUVECs,Cytoplasmic Integrity
"p,p'-DDD",1,0.01,0.951748561,HUVECs,Cytoplasmic Integrity
Benzidine,1,0.01,1.068319315,HUVECs,Cytoplasmic Integrity
Endosulfan,1,0.01,0.997491515,HUVECs,Cytoplasmic Integrity
Methoxychlor,1,0.01,0.945846245,HUVECs,Cytoplasmic Integrity
"2,4-Dinitrophenol",1,0.01,1.034380995,HUVECs,Cytoplasmic Integrity
"2,4-Dinitrotoluene",1,0.01,1.032905415,HUVECs,Cytoplasmic Integrity
Dicofol,1,0.01,0.939943928,HUVECs,Cytoplasmic Integrity
p-Cresol,1,0.01,0.95469972,HUVECs,Cytoplasmic Integrity
"o,p'-DDT",1,0.01,1.097830899,HUVECs,Cytoplasmic Integrity
"2-Methyl-4,6-dinitrophenol",1,0.01,1.04175889,HUVECs,Cytoplasmic Integrity
"1,2,3-Trichlorobenzene",1,0.01,1.131769219,HUVECs,Cytoplasmic Integrity
Lead nitrate,1,0.01,1.128818061,HUVECs,Cytoplasmic Integrity
Cadmium chloride,1,0.01,1.05946584,HUVECs,Cytoplasmic Integrity
Zinc chloride,1,0.01,1.052087945,HUVECs,Cytoplasmic Integrity
Mercuric chloride,1,0.01,1.029954257,HUVECs,Cytoplasmic Integrity
Potassium chromate (VI),1,0.01,1.018149624,HUVECs,Cytoplasmic Integrity
Cobalt chloride,1,0.01,1.029954257,HUVECs,Cytoplasmic Integrity
Nickel chloride,1,0.01,1.019625203,HUVECs,Cytoplasmic Integrity
Benz(a)anthracene,2,0.01,1.057773029,HUVECs,Cytoplasmic Integrity
Naphthalene,2,0.01,1.004350149,HUVECs,Cytoplasmic Integrity
Fluoranthene,2,0.01,0.932610852,HUVECs,Cytoplasmic Integrity
"p,p'-DDT",2,0.01,0.84255514,HUVECs,Cytoplasmic Integrity
Dieldrin,2,0.01,0.978401893,HUVECs,Cytoplasmic Integrity
Aldrin,2,0.01,0.93413722,HUVECs,Cytoplasmic Integrity
Heptachlor,2,0.01,0.978401893,HUVECs,Cytoplasmic Integrity
Lindane,2,0.01,0.986033733,HUVECs,Cytoplasmic Integrity
Disulfoton,2,0.01,0.998244677,HUVECs,Cytoplasmic Integrity
Endrin,2,0.01,1.051667557,HUVECs,Cytoplasmic Integrity
Diazinon,2,0.01,0.961611845,HUVECs,Cytoplasmic Integrity
Heptachlor epoxide,2,0.01,1.018087461,HUVECs,Cytoplasmic Integrity
Pentachlorophenol,2,0.01,1.040982981,HUVECs,Cytoplasmic Integrity
Dibutyl phthalate,2,0.01,1.190567046,HUVECs,Cytoplasmic Integrity
Chlorpyrifos,2,0.01,0.8349233,HUVECs,Cytoplasmic Integrity
Di(2-ethylhexyl) phthalate,2,0.01,1.048614821,HUVECs,Cytoplasmic Integrity
"2,4,6-Trichlorophenol",2,0.01,1.011981989,HUVECs,Cytoplasmic Integrity
Ethion,2,0.01,0.990612837,HUVECs,Cytoplasmic Integrity
Azinphos-methyl,2,0.01,0.963138213,HUVECs,Cytoplasmic Integrity
"2,4,5-Trichlorophenol",2,0.01,1.121880485,HUVECs,Cytoplasmic Integrity
Parathion,2,0.01,0.986033733,HUVECs,Cytoplasmic Integrity
Benzo(b)fluoranthene,2,0.01,0.943295429,HUVECs,Cytoplasmic Integrity
